municipio,codEstacao,uf,nomeEstacao,latitude,longitude,datahora,valorMedida
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 16:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 17:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 18:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 19:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 20:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 21:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 22:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-03 23:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 00:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 01:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 02:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 03:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 04:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 05:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 06:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 07:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 08:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 09:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 10:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 11:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 12:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 13:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 14:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 15:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 16:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 17:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 18:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 19:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 20:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 21:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 22:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 22:30:00.0,0.20,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 23:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 23:30:00.0,0.60,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 23:40:00.0,0.40,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-04 23:50:00.0,0.60,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 00:00:00.0,0.40,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 00:10:00.0,0.60,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 00:20:00.0,0.20,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 00:30:00.0,0.20,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 00:40:00.0,0.20,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 01:00:00.0,0.20,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 01:20:00.0,0.20,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 01:40:00.0,0.20,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 02:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 02:20:00.0,0.20,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 03:00:00.0,0.20,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 04:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 05:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 06:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 07:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 08:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 09:10:00.0,0.00,
CUIABÁ,510340301H,MT,Corrego do Barbado,-56.077172,-15.619291,2020-12-05 10:10:00.0,0.00,
